学生ID,性别,父母收入,IQ,父母鼓励,升学计划
5122,男,68300,136,不鼓励,不计划
5123,女,27300,90,不鼓励,不计划
5124,女,30700,101,不鼓励,不计划
5126,男,48870,93,鼓励,不计划
5129,男,57640,117,鼓励,计划
5130,男,29700,105,不鼓励,不计划
5131,女,58000,140,不鼓励,不计划
5132,男,29250,112,鼓励,不计划
5133,女,29100,86,不鼓励,不计划
5136,男,12400,89,不鼓励,不计划
5137,男,65560,108,鼓励,计划
5142,女,34700,96,不鼓励,不计划
5143,女,31500,134,不鼓励,不计划
5144,男,26300,90,不鼓励,不计划
5145,女,56870,109,鼓励,计划
5146,女,66060,109,鼓励,不计划
5148,女,66220,126,鼓励,计划
5153,男,27000,95,不鼓励,不计划
5158,女,76230,126,鼓励,计划
5159,女,31500,140,鼓励,不计划
5160,女,79860,109,鼓励,计划
5162,女,33660,61,鼓励,不计划
5165,女,59950,103,鼓励,计划
5168,男,78540,103,鼓励,计划
5170,女,21900,85,不鼓励,不计划
5173,男,35300,60,不鼓励,不计划
5175,男,32850,67,鼓励,不计划
5177,男,64260,95,鼓励,不计划
5179,男,73480,97,鼓励,计划
5181,男,51370,92,鼓励,计划
5185,男,42570,92,鼓励,不计划
5187,女,30240,109,鼓励,不计划
5188,男,18000,99,鼓励,不计划
5190,男,72160,109,鼓励,计划
5191,女,48200,70,不鼓励,不计划
5196,女,20600,83,不鼓励,不计划
5197,男,37950,106,鼓励,计划
5198,男,40810,112,鼓励,计划
5199,男,38790,87,鼓励,不计划
5205,女,63540,100,鼓励,不计划
5206,男,56700,90,鼓励,不计划
5207,男,33700,61,不鼓励,不计划
5209,男,41490,73,鼓励,不计划
5211,女,38720,108,鼓励,计划
5213,男,26700,99,不鼓励,不计划
5214,男,33550,104,鼓励,计划
5217,女,43900,83,不鼓励,不计划
5219,男,32500,88,不鼓励,不计划
5221,女,51700,103,鼓励,计划
5226,女,44200,81,不鼓励,不计划
5227,男,41500,106,不鼓励,不计划
5228,男,49590,109,鼓励,不计划
5230,女,63800,116,鼓励,计划
5231,男,56520,92,鼓励,不计划
5232,女,41500,76,不鼓励,不计划
5233,女,11200,99,不鼓励,不计划
5237,男,33880,118,鼓励,计划
5240,女,40100,79,不鼓励,不计划
5241,男,63250,114,鼓励,计划
5242,女,37400,100,不鼓励,不计划
5247,男,76560,102,鼓励,计划
5248,女,8700,61,不鼓励,不计划
5249,男,35100,98,鼓励,不计划
5250,男,72100,116,不鼓励,不计划
5252,女,23200,134,不鼓励,计划
5253,女,35300,66,不鼓励,不计划
5254,女,20500,100,不鼓励,不计划
5255,女,14700,87,不鼓励,不计划
5256,女,28000,105,不鼓励,不计划
5257,男,29430,115,鼓励,不计划
5259,男,38940,129,鼓励,计划
5260,男,53370,75,鼓励,不计划
5261,女,51390,86,鼓励,不计划
5262,男,22900,61,不鼓励,不计划
5265,男,46900,73,不鼓励,不计划
5266,男,27400,115,不鼓励,不计划
5267,女,21600,69,鼓励,不计划
5268,男,32500,90,不鼓励,不计划
5269,女,79200,139,鼓励,计划
5273,女,82060,111,鼓励,计划
5278,女,38340,78,鼓励,不计划
5280,男,43650,117,鼓励,不计划
5281,女,68800,118,不鼓励,不计划
5284,男,32130,125,鼓励,不计划
5285,男,37300,77,不鼓励,不计划
5289,女,36100,64,不鼓励,不计划
5292,男,70400,119,鼓励,计划
5295,女,47300,122,鼓励,计划
5296,男,69740,123,鼓励,计划
5297,女,40100,103,不鼓励,不计划
5298,女,49300,93,不鼓励,不计划
5299,男,53460,92,鼓励,计划
5300,男,49720,124,鼓励,计划
5301,女,35400,63,不鼓励,不计划
5302,男,18300,102,不鼓励,不计划
5304,女,51100,63,不鼓励,不计划
5305,女,60000,97,不鼓励,不计划
5311,男,66440,125,鼓励,计划
5312,男,42100,79,不鼓励,不计划
5313,女,36450,121,鼓励,不计划
5314,男,57640,122,鼓励,计划
5316,男,23100,79,不鼓励,不计划
5318,男,42390,105,鼓励,不计划
5321,女,49300,97,不鼓励,不计划
5322,男,61600,116,鼓励,计划
5324,女,58190,128,鼓励,计划
5330,男,34500,78,不鼓励,不计划
5331,男,32850,133,鼓励,不计划
5332,女,32400,99,不鼓励,不计划
5335,女,55500,89,不鼓励,不计划
5336,男,29600,77,不鼓励,不计划
5341,男,50050,125,鼓励,计划
5343,男,15900,63,不鼓励,不计划
5344,女,59100,79,不鼓励,计划
5345,男,54230,134,鼓励,计划
5349,男,42700,100,不鼓励,不计划
5353,男,31800,92,不鼓励,不计划
5356,男,50930,102,鼓励,计划
5357,女,46530,130,鼓励,计划
5358,男,9200,86,不鼓励,不计划
5360,女,43700,98,不鼓励,不计划
5361,男,36500,133,不鼓励,不计划
5362,女,34920,108,鼓励,不计划
5363,女,39060,98,鼓励,不计划
5364,男,32400,86,不鼓励,不计划
5365,男,44370,100,鼓励,不计划
5366,男,29610,92,鼓励,不计划
5370,男,18500,99,不鼓励,不计划
5372,男,30510,84,鼓励,不计划
5376,女,6030,69,鼓励,不计划
5378,女,63540,112,鼓励,不计划
5379,女,46400,97,不鼓励,不计划
5380,男,76010,128,鼓励,计划
5383,男,24750,92,鼓励,不计划
5384,女,9300,110,不鼓励,不计划
5387,男,24480,93,鼓励,不计划
5390,女,66990,90,鼓励,计划
5393,男,13590,93,鼓励,不计划
5394,女,47100,72,不鼓励,不计划
5395,男,53790,107,鼓励,计划
5396,男,38600,107,不鼓励,不计划
5403,女,67900,103,不鼓励,不计划
5404,男,74910,112,鼓励,计划
5405,女,29340,98,鼓励,不计划
5408,女,11520,98,鼓励,不计划
5410,男,34920,96,鼓励,不计划
5411,女,13900,79,不鼓励,不计划
5412,女,54700,104,不鼓励,计划
5413,女,32300,95,不鼓励,不计划
5414,女,40920,98,鼓励,计划
5415,女,47300,90,不鼓励,不计划
5417,男,56870,107,鼓励,计划
5418,男,42800,91,不鼓励,不计划
5419,男,7200,104,不鼓励,计划
5420,男,42350,96,鼓励,计划
5424,男,43650,91,鼓励,不计划
5428,男,15210,76,鼓励,不计划
5429,男,17640,93,鼓励,不计划
5431,女,37100,115,不鼓励,不计划
5433,男,49400,108,不鼓励,不计划
5437,男,15750,92,鼓励,不计划
5438,男,58500,79,鼓励,不计划
5439,女,31600,66,不鼓励,不计划
5440,女,34200,97,不鼓励,不计划
5442,女,35100,82,不鼓励,不计划
5443,女,15300,76,不鼓励,不计划
5445,女,45600,103,不鼓励,不计划
5452,男,19300,130,不鼓励,不计划
5455,女,48400,111,鼓励,计划
5456,女,33500,106,不鼓励,不计划
5458,男,45210,101,鼓励,计划
5459,男,27700,96,不鼓励,不计划
5460,女,15500,134,不鼓励,不计划
5461,男,31570,115,鼓励,计划
5462,男,80520,96,鼓励,计划
5465,男,54670,108,鼓励,计划
5467,男,9200,87,不鼓励,不计划
5468,女,9810,126,鼓励,不计划
5469,女,46440,131,鼓励,不计划
5470,男,23400,69,不鼓励,不计划
5471,男,36500,86,不鼓励,不计划
5475,女,34800,69,不鼓励,不计划
5478,女,43100,116,不鼓励,不计划
5479,女,47400,98,不鼓励,不计划
5480,男,20300,73,不鼓励,不计划
5481,男,18270,96,鼓励,不计划
5483,女,74140,109,鼓励,计划
5484,男,9200,82,不鼓励,不计划
5486,女,26300,90,不鼓励,不计划
5488,女,40950,96,鼓励,不计划
5490,男,39900,97,不鼓励,不计划
5492,男,65070,103,鼓励,不计划
5494,女,25700,85,不鼓励,不计划
5495,女,50400,98,不鼓励,不计划
5496,女,30500,106,不鼓励,不计划
5498,女,52800,107,鼓励,计划
5502,男,59310,94,鼓励,不计划
5504,男,60830,110,鼓励,计划
5511,男,42020,135,鼓励,计划
5514,女,61200,122,鼓励,不计划
5515,女,33200,119,不鼓励,不计划
5516,女,32400,100,鼓励,不计划
5519,女,65230,115,鼓励,计划
5520,男,53130,102,鼓励,计划
5522,女,55000,65,鼓励,计划
5523,女,44900,84,不鼓励,计划
5524,男,80410,112,鼓励,计划
5527,男,14300,87,不鼓励,不计划
5528,女,35280,130,鼓励,不计划
5530,女,45700,64,不鼓励,不计划
5531,女,24100,79,不鼓励,不计划
5533,女,57200,96,不鼓励,不计划
5534,男,48620,119,鼓励,计划
5536,男,33770,140,鼓励,计划
5537,男,41300,90,不鼓励,不计划
5539,男,57510,63,鼓励,不计划
5541,女,33400,97,不鼓励,不计划
252,男,14310,83,鼓励,不计划
254,女,15100,95,不鼓励,不计划
256,女,32310,108,鼓励,不计划
257,男,34200,73,鼓励,不计划
258,男,40920,98,鼓励,计划
262,男,77770,100,鼓励,计划
263,男,38600,105,不鼓励,不计划
265,女,42240,109,鼓励,计划
266,男,49590,120,鼓励,不计划
268,女,48870,98,鼓励,不计划
269,女,35190,83,鼓励,不计划
270,女,47740,91,鼓励,计划
271,男,46310,131,鼓励,计划
272,男,40040,106,鼓励,计划
273,女,38300,127,不鼓励,不计划
274,女,72820,129,鼓励,计划
275,女,32500,63,不鼓励,不计划
276,女,50300,136,不鼓励,计划
277,女,24700,90,不鼓励,不计划
278,女,27300,65,不鼓励,不计划
279,女,30700,100,不鼓励,不计划
280,女,55110,99,鼓励,计划
290,女,37500,60,不鼓励,不计划
292,女,5300,96,不鼓励,不计划
293,女,36600,93,不鼓励,不计划
294,女,65200,96,不鼓励,不计划
295,女,45320,119,鼓励,计划
296,女,16380,110,鼓励,不计划
297,男,48800,100,不鼓励,不计划
299,女,7400,109,不鼓励,不计划
301,男,19200,92,不鼓励,不计划
302,女,48500,94,不鼓励,不计划
303,女,13800,61,不鼓励,不计划
304,女,36740,102,鼓励,计划
305,女,30300,86,不鼓励,计划
306,女,42130,92,鼓励,计划
310,女,45200,105,不鼓励,计划
311,男,45320,103,鼓励,计划
314,男,45760,112,鼓励,计划
315,男,73590,120,鼓励,计划
318,男,31400,99,不鼓励,不计划
321,男,36100,70,不鼓励,不计划
322,男,47200,82,不鼓励,不计划
324,女,63910,105,鼓励,计划
326,女,36700,96,不鼓励,不计划
327,女,19710,109,鼓励,不计划
330,男,44990,103,鼓励,计划
331,男,58600,101,不鼓励,不计划
333,女,37180,90,鼓励,计划
336,男,40590,107,鼓励,不计划
337,女,5130,104,鼓励,不计划
338,男,38280,109,鼓励,计划
339,男,41670,120,鼓励,不计划
341,男,29900,62,不鼓励,不计划
344,女,36800,110,不鼓励,不计划
346,男,33770,127,鼓励,计划
347,女,24800,71,不鼓励,不计划
348,男,48200,110,不鼓励,不计划
350,女,28170,128,鼓励,不计划
351,女,36400,97,不鼓励,不计划
356,女,36800,80,不鼓励,不计划
361,男,18400,79,不鼓励,不计划
364,男,44300,109,不鼓励,不计划
367,女,33600,68,不鼓励,不计划
368,男,49940,133,鼓励,计划
374,男,27830,104,鼓励,计划
375,男,51260,102,鼓励,计划
377,女,31500,105,不鼓励,不计划
385,女,27270,99,鼓励,不计划
387,女,63800,100,鼓励,计划
388,男,44900,104,不鼓励,不计划
389,女,22300,92,不鼓励,不计划
393,男,35000,99,不鼓励,不计划
394,女,74140,97,鼓励,计划
396,男,65670,118,鼓励,计划
399,女,20500,75,不鼓励,不计划
401,男,47500,122,不鼓励,不计划
402,女,72930,94,鼓励,计划
5543,女,45810,90,鼓励,不计划
5544,女,24600,100,不鼓励,不计划
5547,男,46800,85,不鼓励,不计划
5549,男,32300,114,不鼓励,不计划
5550,女,15070,88,鼓励,计划
5551,男,26370,95,鼓励,不计划
5557,女,33900,103,不鼓励,不计划
5559,男,31500,86,不鼓励,不计划
5560,男,67430,107,鼓励,计划
5561,男,48000,70,不鼓励,不计划
5566,男,42300,103,不鼓励,不计划
5567,男,59850,108,鼓励,不计划
5571,男,11800,72,不鼓励,不计划
5572,男,36200,62,不鼓励,不计划
5574,男,53500,131,不鼓励,不计划
5575,男,35900,62,不鼓励,计划
5576,女,23700,77,不鼓励,不计划
5577,男,25850,108,鼓励,计划
5578,男,44440,77,鼓励,计划
5581,女,30400,75,不鼓励,不计划
5582,男,60940,101,鼓励,计划
5586,男,34900,96,不鼓励,不计划
5589,女,61020,88,鼓励,不计划
5591,男,31000,83,不鼓励,不计划
5592,女,39600,63,不鼓励,不计划
5594,男,49800,92,不鼓励,不计划
5597,男,38900,80,不鼓励,不计划
5600,男,44220,66,鼓励,计划
5607,女,19910,129,鼓励,计划
5608,男,37890,109,鼓励,不计划
5609,男,21000,71,不鼓励,不计划
5612,男,13100,64,不鼓励,不计划
5617,男,74140,119,鼓励,计划
5620,女,5310,98,鼓励,不计划
5623,女,58700,110,不鼓励,不计划
5625,男,43200,113,鼓励,不计划
5626,女,75020,106,鼓励,计划
5627,男,34500,64,不鼓励,不计划
5628,男,7400,60,不鼓励,不计划
5629,男,47190,76,鼓励,计划
5630,女,65430,101,鼓励,不计划
5632,女,40200,98,不鼓励,不计划
5633,女,41580,109,鼓励,计划
5634,男,47600,93,不鼓励,不计划
5635,男,38900,65,不鼓励,不计划
5637,男,48300,75,不鼓励,不计划
5638,女,27450,102,鼓励,不计划
5640,男,33600,94,不鼓励,不计划
5644,男,49000,98,不鼓励,不计划
5646,女,30500,93,不鼓励,不计划
5647,男,45090,91,鼓励,不计划
5648,女,41400,124,鼓励,不计划
5652,男,76230,119,鼓励,计划
5654,女,57640,131,鼓励,计划
5655,男,29500,91,不鼓励,不计划
5659,女,36800,62,不鼓励,不计划
5663,女,34500,69,不鼓励,不计划
5664,女,47410,135,鼓励,计划
5665,女,7000,65,不鼓励,不计划
5667,女,42930,101,鼓励,不计划
5669,女,25000,94,不鼓励,不计划
5670,女,16600,77,不鼓励,不计划
5673,男,67210,98,鼓励,计划
5674,女,34300,90,不鼓励,不计划
5676,女,44300,136,不鼓励,不计划
5682,女,37500,105,不鼓励,不计划
5685,女,34500,105,不鼓励,不计划
5686,男,43600,101,不鼓励,计划
5687,男,56200,65,不鼓励,不计划
5689,男,51700,106,鼓励,计划
5691,男,28800,110,不鼓励,不计划
5692,男,32000,97,不鼓励,不计划
5693,男,46750,127,鼓励,计划
5694,男,52200,91,鼓励,不计划
5695,女,37900,120,不鼓励,不计划
5697,女,22400,86,不鼓励,不计划
5701,女,40770,114,鼓励,不计划
5707,男,37700,94,不鼓励,不计划
5709,男,80850,117,鼓励,计划
5710,男,38830,104,鼓励,计划
5711,女,32000,91,不鼓励,不计划
5712,男,62100,95,不鼓励,不计划
5714,女,68530,106,鼓励,计划
5715,女,24750,98,鼓励,不计划
5716,男,45700,102,不鼓励,不计划
5720,女,54180,119,鼓励,不计划
5722,女,61800,135,不鼓励,不计划
5723,男,44000,91,不鼓励,不计划
5724,女,5500,120,不鼓励,不计划
5731,男,57090,126,鼓励,计划
5734,男,77880,108,鼓励,计划
5737,女,28710,94,鼓励,不计划
5738,男,36500,91,不鼓励,不计划
5740,男,61300,92,不鼓励,计划
5742,女,34870,132,鼓励,计划
5746,女,44600,97,不鼓励,不计划
5747,男,53910,95,鼓励,不计划
5751,男,59670,115,鼓励,不计划
5752,女,40480,126,鼓励,计划
5756,男,43560,102,鼓励,不计划
5757,女,61650,107,鼓励,不计划
5758,女,23600,97,不鼓励,不计划
5761,男,52800,101,鼓励,计划
5762,女,46310,137,鼓励,计划
5764,男,42020,104,鼓励,计划
5766,女,16000,104,不鼓励,不计划
5767,男,38700,94,鼓励,不计划
5768,女,40230,118,鼓励,不计划
5769,男,54800,92,不鼓励,不计划
5771,女,49200,77,不鼓励,不计划
5773,男,50820,128,鼓励,计划
5776,男,28710,110,鼓励,不计划
5778,男,38830,131,鼓励,计划
5779,男,46200,72,不鼓励,不计划
5780,女,57800,136,不鼓励,不计划
5782,女,30400,80,不鼓励,不计划
5789,男,68000,102,不鼓励,不计划
5791,男,5200,63,不鼓励,不计划
5795,男,65010,120,鼓励,计划
5797,男,44440,101,鼓励,计划
5798,男,45000,84,不鼓励,不计划
5802,男,70620,122,鼓励,计划
5804,男,9630,70,鼓励,不计划
5805,女,77660,106,鼓励,计划
5807,男,31140,108,鼓励,不计划
5812,女,30500,90,不鼓励,不计划
5813,女,48400,118,不鼓励,不计划
5814,女,7800,94,不鼓励,不计划
5817,男,34700,109,不鼓励,不计划
5819,女,49800,70,不鼓励,不计划
5820,男,41470,139,鼓励,计划
5825,女,40480,110,鼓励,计划
5827,男,64980,98,鼓励,不计划
5832,女,48400,78,不鼓励,不计划
5833,女,35800,102,不鼓励,不计划
5834,男,43800,85,不鼓励,不计划
5837,男,26600,97,不鼓励,不计划
5839,女,62370,126,鼓励,计划
5841,男,69200,73,不鼓励,不计划
5842,男,53570,127,鼓励,计划
5846,男,58500,110,鼓励,不计划
5847,男,26100,98,不鼓励,不计划
